,major_category,middle_category,name,number,limit,exclusive,target_gender,buy_gender,buy_age,view,like,price,discount_rate,delivery_date,rating,review,buy
4433,바지,코튼 팬츠,2601 빈티지 M-65 필드 팬츠 OLIVE,ROTHCO163,0,0,0,0.0,"('40세~', 0)",1000.0,968,99000.0,0,4.0,4.8,112,50.0
4434,바지,코튼 팬츠,5.cargo Flare Pants (FL-234_Black),FL-234_Black,0,0,2,1.0,"('24~28세', 0)",1800.0,639,106700.0,10,4.0,5.0,12,50.0
4435,바지,코튼 팬츠,Tura Corduroy Washed Trousers (Brown),5003840497,0,0,0,,"('~18세', 0)",950.0,82,87200.0,20,4.0,5.0,11,
4436,스포츠/용품,하의,트레이닝 4부 반바지 밴딩 숏팬츠 MENS TRAINING SHORTS [2컬러],E-001P,0,0,0,0.0,"('19~23세', 0)",2300.0,1321,19900.0,0,4.0,4.8,169,1400.0
4437,바지,데님 팬츠,Color Washing Damage Pants(RED),MB23F2LPU02RD,1,0,2,1.0,"('19~23세', 0)",950.0,827,83300.0,30,4.0,4.7,11,50.0
4438,스포츠/용품,하의,기모 우븐 카고 팬츠,SO423UPTO1,0,0,0,0.0,"('40세~', 0)",750.0,51,149000.0,0,4.0,5.0,17,50.0
4439,바지,코튼 팬츠,23AW M-41 Wide Chino Pants (Dark Navy),AODFPT014NV,0,0,0,,"('24~28세', 0)",900.0,97,152150.0,15,4.0,5.0,1,
4440,스포츠/용품,하의,NEW 에어쿨링 샤론 부츠컷 레깅스 (롱)_블랙,AMPPT-07BLK,0,0,1,1.0,"('19~23세', 0)",850.0,755,49000.0,0,4.0,4.9,75,300.0
4441,바지,데님 팬츠,데님 스티치 와이드 카고 팬츠 - 화이트,5003548995,0,0,1,1.0,"('19~23세', 0)",1600.0,689,95000.0,0,5.0,5.0,5,
4442,바지,트레이닝/조거 팬츠,[원단/자수 선택 가능] 프리미엄 밴딩 카고 팬츠 (BLACK),atm19sb003bk,1,0,0,0.0,"('24~28세', 0)",1100.0,11366,42900.0,45,4.0,4.7,4021,450.0
4443,바지,슈트 팬츠/슬랙스,TR 딥 원턱 파라슈트 슬랙스_2 COLOR,KBCFUWP002,1,0,2,0.0,"('19~23세', 0)",2100.0,968,47200.0,20,4.0,4.8,48,200.0
4444,바지,코튼 팬츠,SEMI WIDE CORDUROY JEANS CAMEL BEIGE_UDPA3D225CM,UDPA3D225CM,0,0,1,,"('24~28세', 0)",1100.0,207,103550.0,5,5.0,4.9,14,
4445,바지,트레이닝/조거 팬츠,Padded Nylon Parachute Cargo Pants_Olive Khaki,DU23WW4001OL,1,0,0,0.0,"('24~28세', 0)",2000.0,621,92650.0,15,5.0,4.8,59,50.0
4446,바지,트레이닝/조거 팬츠,COTTON USA 헤비 조거 밴딩 팬츠_LIGHT MELANGE,23FMO,0,0,0,0.0,"('24~28세', 0)",5700.0,382,19900.0,72,4.0,4.8,61,150.0
4447,바지,슈트 팬츠/슬랙스,벨티드 투플리츠 울 팬츠 BLACK,IM2C2PT01BK,1,0,0,0.0,"('24~28세', 0)",3700.0,2556,87000.0,20,4.0,4.8,623,500.0
4448,바지,슈트 팬츠/슬랙스,스탠 울 와이드 트라우져 (블랙),CXC2PT18V-BLK,0,0,2,0.0,"('24~28세', 0)",2500.0,1566,73800.0,10,4.0,4.9,170,150.0
4449,스포츠/용품,하의,스티치 라인 와이드 팬츠_블랙,BE3MLP218,1,0,0,0.0,"('24~28세', 0)",1300.0,55,129000.0,0,4.0,5.0,3,50.0
4450,바지,데님 팬츠,빈티지 리워크 프린트 진 apa561m(BLUE),A22FWPAM561_BL,0,0,0,0.0,"('29~33세', 0)",2600.0,519,173600.0,30,4.0,4.7,64,50.0
4451,스포츠/용품,하의,SA8165 제로 윈터 스트레잇 기모팬츠 블랙,SA8165,0,0,1,1.0,"('24~28세', 0)",900.0,248,32000.0,43,3.0,4.9,31,50.0
4452,스포츠/용품,하의,밸런스 쇼츠 4 color,HD23SHP12M01,1,0,0,0.0,"('24~28세', 0)",2400.0,399,31500.0,30,5.0,4.9,170,650.0
4453,스포츠/용품,하의,베이직 플리스 조거팬츠 블랙,XA5407GBlack,0,0,1,1.0,"('34~39세', 0)",1700.0,158,49000.0,25,4.0,4.7,7,50.0
4454,스포츠/용품,하의,기모 트리코트 조거 팬츠 (BLACK) / BM210701,BM210701,0,0,0,0.0,"('29~33세', 0)",3100.0,236,30500.0,22,4.0,4.8,44,250.0
