,major_category,middle_category,name,number,limit,exclusive,target_gender,buy_gender,buy_age,view,like,price,discount_rate,delivery_date,rating,review,buy,score,buy_age1,buy_age2
2343,바지,트레이닝/조거 팬츠,원턱 와이드 스웨트 카고팬츠 블랙,G77700006BK,0,0,2,0.0,"('~18세', 0)",43000.0,15678,39900.0,22,5.0,4.8,1999,14000.0,0.9883720930232558,1,0
2344,바지,슈트 팬츠/슬랙스,[드로우핏X깡스타일리스트] 투턱 밴딩 와이드 슬랙스 [BLACK],DFPT0006BK,1,0,0,0.0,"('24~28세', 0)",32000.0,10424,49800.0,21,35.0,4.9,1704,8200.0,0.9634146341463414,3,0
2345,바지,트레이닝/조거 팬츠,원턱 와이드 스웨트 팬츠  - 3 COLOR [논기모 OR 기모],JT67,0,0,2,0.0,"('40세~', 0)",29000.0,1787,24800.0,75,6.0,4.7,67,950.0,1.0,6,0
2346,바지,트레이닝/조거 팬츠,아디브레이크 트랙 팬츠 W - 블랙 / IB5924,IB5924,0,0,1,1.0,"('40세~', 0)",28000.0,10418,69900.0,21,4.0,4.8,449,2500.0,1.0,6,0
2347,바지,슈트 팬츠/슬랙스,Two-Tuck Slacks 101 GREY,23FW04-151,0,0,1,1.0,"('19~23세', '24~28세')",5400.0,2175,44250.0,25,5.0,4.8,19,150.0,1.0,2,0
2348,바지,트레이닝/조거 팬츠,IRB068 유니섹스 루즈핏 트레이닝 스웨트 밴딩 조거팬츠 멜란지 그레이,irb068,0,0,2,1.0,"('40세~', 0)",3800.0,233,34500.0,50,6.0,4.8,45,200.0,1.0,6,0
2349,바지,트레이닝/조거 팬츠,로럴골든 스웨트 팬츠_네이비,GBLP2221NV,0,0,2,1.0,"('40세~', 0)",8500.0,838,39500.0,33,5.0,4.8,59,250.0,1.0,6,0
2350,바지,트레이닝/조거 팬츠,하트 패턴 2way 조거 - 블랙,Rock22-1,0,0,1,1.0,"('24~28세', 0)",8300.0,9485,75650.0,15,5.0,4.9,306,700.0,1.0,3,0
2351,바지,데님 팬츠,피그먼트 워싱 와이드 데님팬츠 핑크,SP006_NP,0,0,2,0.0,"('19~23세', 0)",2700.0,3146,57900.0,51,6.0,4.8,214,650.0,0.9302325581395348,2,0
2352,바지,트레이닝/조거 팬츠,엠보스 로고 조거 트라우저 (기모) - 핑크,w-pts23-061,0,0,2,1.0,"('24~28세', 0)",2100.0,407,86400.0,10,5.0,5.0,6,50.0,1.0,3,0
